seq,competencia,arquivo_origem,pagina,data_movimento,codigo,origem_bc,natureza,especificacao,valor,saldo_apos
45,2026-01,01_2026.pdf,3,2026-01-15,0205,B,SAIDA,"Pagtº referente a aluguel de palco som e iluminação, o valor total foi de R$ 7.000,00: R$ 3.000,00 em dinheiro, R$ 2.000,00 em cheque 851.042 para o dia 15/12/2025 e o outro cheque 851.043 de R$ 2.000,00 para o dia 15/01/2026. Insturmentos para serem usados durante a festa que foi realizada no dia 23/11/2025 tudo realizado no Espaço de Eventos CTR da APLB Sindicato - Delegacia do Sisal/Araci-BA - da APLB - (205.27) LUIZ CARLOS PEREIRA SANTANA",2000.00,41972.46
46,2026-01,01_2026.pdf,3,2026-01-16,0801,B,SAIDA,002 - (801.1) Suprimento de Caixa - Cheque 851.047,9900.00,32072.46
47,2026-01,01_2026.pdf,3,2026-01-16,0001,B,SAIDA,Tarifas Processamento Cheque (Soma das tarifas do dia),3.20,32069.26
48,2026-01,01_2026.pdf,3,2026-01-16,0001,B,SAIDA,Tarifas Processamento Cheque (Soma das tarifas do dia),19.10,32050.16
49,2026-01,01_2026.pdf,3,2026-01-19,0702,B,ENTRADA,Transf. Poupança JOSILENE FERREIRA ABREU,640.62,32690.78
50,2026-01,01_2026.pdf,3,2026-01-21,0002,B,SAIDA,COMPANHIA DE ELETRICIDADE,582.12,32108.66
51,2026-01,01_2026.pdf,3,2026-01-21,0803,B,SAIDA,UNIÃO MEDICA,6842.23,25266.43
52,2026-01,01_2026.pdf,3,2026-01-28,0022,B,ENTRADA,Correspondente ao valor da mensalidade pelos serviços de programação/manutenção/hospedagem do aplicativo da secretaria do núcleo da APLB de Euclides da Cunha - Transferência bancária referente aos meses 12/2025 - (22.8) Suely diretor (a) financeiro de EUCLIDES DA CUNHA,100.00,25366.43
53,2026-01,01_2026.pdf,3,2026-01-14,0801,C,ENTRADA,002 - (801.1) Suprimento de Caixa - Cheque 851046,9900.00,35266.43
54,2026-01,01_2026.pdf,3,2026-01-14,0801,C,ENTRADA,002 - (801.1) Suprimento de Caixa - Cheque 851047,9900.00,45166.43
55,2026-01,01_2026.pdf,3,2026-01-15,0906,C,SAIDA,"Pagtº referente a serviços prestados - Serviços Gerais - referente ao restante do pagamento de férias de 05/01/2026 a 03/02/2026 e 1/3 de férias, relativos ao período aquisitivo de 01/03/2025, pelos serviços prestados no Espaço de Eventos CTR da APLB/Araci - (906.3) GILDAZIO SALVADOR DAS NEVES",3178.00,41988.43
56,2026-01,01_2026.pdf,3,2026-01-15,0906,C,SAIDA,"Pagtº referente a serviços prestados - Serviços Gerais - referente ao restante do pagamento de férias de 05/01/2026 a 03/02/2026 e 1/3 de férias, relativos ao período aquisitivo de 01/03/2025, pelos serviços prestados no Espaço de Eventos CTR da APLB/Araci - (906.1) DERMEVAL JESUS DO NASCIMENTO",2259.93,39728.50
57,2026-01,01_2026.pdf,3,2026-01-19,0175,C,SAIDA,"Referente ao pagtº - 06398 - referente a despesas com mais frutas para acrescentar - manga, maracujá, goiaba e abacaxi usados no preparo de sucos para serem usados durante a XV Assembleia oline realizado no dia 18/12/2025 na sede da PLB Sindicato/Araci - BA. - (11.1) POSTO ESTRELA DO NORTE",100.00,39628.50
58,2026-01,01_2026.pdf,3,2026-01-19,0011,C,SAIDA,Referente ao pagtº - 01070 - de abastecimento com gasolina de veículos para abastecimento de carro para serviços diversos dessa instituição - 18/12/2025- da APLB/SINDICATO/ARACI-BA . - (11.1) POSTO ESTRELA DO NORTE,285.68,39342.82
59,2026-01,01_2026.pdf,3,2026-01-19,0915,C,SAIDA,Referente ao pagtº de compras de sacos de ração para os cães vigilantes do CTR-APLB SINDICATO ARACI/BA) - (915.2) AgriPec,110.00,39232.82
60,2026-01,01_2026.pdf,3,2026-01-19,0006,C,SAIDA,"109 - Referente a pgt. - nº 191 -materiais: refil tanque de tinta, bateria não recarregavel, kit teclado, cartão memória micro SDXC da sede da APLB/ARACI-BA - (6.3) 2E TECNOLOGIA E SEGURANÇA ELETRONICA - MILLENIUM",94.50,39138.32
61,2026-01,01_2026.pdf,4,2026-01-19,0017,C,SAIDA,"Pagtº referente a compra de alimentos em greral - pão de forma, açúcar, café, manteiga, etc - para a cozinha da APLB Sindicato - Delegacia do Sisal/Araci-BA - da APL - (17.3) RODRIKSON ZAINER OLIVEIRA",342.90,38795.42
62,2026-01,01_2026.pdf,4,2026-01-19,0702,C,ENTRADA,"Recebimento da Contribuição Sindical e Termo Aditivo através de pagamento em espécies referente aos meses 11, 12/2025 - (702.14) MARGARETH LOPES DE CARVALHO",59.14,38854.56
63,2026-01,01_2026.pdf,4,2026-01-19,0804,C,SAIDA,"Referente ao pagtº referente à restituição de pagamento indevido do Plano de Saúde Unimed, correspondente ao mês de Novembro/2025, bem como a Coparticipação referente ao mês de Dezembro/2025. Salientando que a cobrança da Coparticipação do Plano de Saúde NÃO foi solicitada pela APLB/Araci nesse pagamento de Dezembro/2025. - (702.14) MARGARETH LOPES DE CARVALHO",1130.62,37723.94
64,2026-01,01_2026.pdf,4,2026-01-19,0908,C,SAIDA,393 - Referente ao pagtº - NF - e Nº 000.003.701 - de compras de materiais diversos para contrução no CTR-APLB SINDICATO ARACI/BA - (908.2) Josué Lopes Carneiro,1757.00,35966.94
65,2026-01,01_2026.pdf,4,2026-01-19,0904,C,SAIDA,Referente ao pagtº - NFC-e 000039078 - Cadeira Diretor QZY2501E2 - parcela da prestação 2/6 referencia do carnê 76820. Para escritório da Sede da APLB Sindicato - Delegacia do Sisal/Araci-BA. - (904.1) ELETRODOMESTICO CAMILA,313.00,35653.94
66,2026-01,01_2026.pdf,4,2026-01-19,0021,C,SAIDA,Referente ao pagtº - NF - e Nº 27 - de conserto/manutenção do projetor/datasow da SEDE da APLB SINDICATO ARACI/BA - (21.4) ROGERIO VLENTIM MAGALHAES DE,385.00,35268.94
67,2026-01,01_2026.pdf,4,2026-01-19,0802,C,SAIDA,"Pagtº referente ao 1/3 de férias, relativo ao período aquisitivo de 01/01/2025 a 31/12/2025 -RESARCIMENTO/GRATIFICAÇÃO- de auxílio rural (802.2) TIAGO SANTIAGO DE CARVALHO",266.33,35002.61
68,2026-01,01_2026.pdf,4,2026-01-19,0802,C,SAIDA,Pagtº referente a despesas com -RESARCIMENTO/GRATIFICAÇÃO- de auxílio rural - 12/2025 - (802.2) TIAGO SANTIAGO DE CARVALHO,799.00,34203.61
69,2026-01,01_2026.pdf,4,2026-01-21,0008,C,SAIDA,Pagtº referente a - salários proporcional - pelos serviços prestados na limpeza/ organização Sede da APLB Sindicaato - Delegacia do Sisal/Araci-Ba - 12/2025 - (8.1) - MARIA DA CONCEIÇÃO MIRANDA DA ANUNCIAÇÃO,760.00,33443.61
70,2026-01,01_2026.pdf,4,2026-01-21,0008,C,SAIDA,"Pagtº referente ao pagamento de férias de 05/01/2026 a 03/02/2026 e 1/3 de férias, relativos ao período aquisitivo de 01/01/2025 a 31/12/2025, em serviços prestados na limpeza/preparação de alimentos na sede da APLB Sindicato - delegacia do Sisal/Araci- Ba - (8.1) MARIA DA CONCEIÇÃO MIRANDA DA ANUNCIAÇÃO",1081.00,32362.61
71,2026-01,01_2026.pdf,4,2026-01-21,0175,C,SAIDA,Pagtº referente - nº 124983 - amido de milho Dona Benta - para a XV assembleia que foi realizada no dia 18/12/2025 tudo realizada no antigo Colégio Ana Oliveira - Delegacia do Sisal/Araci-BA - da APLB - (17.12) MERCADINHO DONA ANITA,3.90,32358.71
72,2026-01,01_2026.pdf,4,2026-01-21,0010,C,SAIDA,"Pagtº - CNPJ 23.280.304/0001-55 - sabão ariel5l, desimplus5l , multilimp 5l - para a sede da APLB/Araci - (10.1) CASA DAS ESSÊNCIAS",57.00,32301.71
73,2026-01,01_2026.pdf,4,2026-01-21,0002,C,SAIDA,Referente a pgtº de fatura de energia da APLB/Araci - BA 11/2025 - (2.1) COELBA SEDE,803.41,31498.30
74,2026-01,01_2026.pdf,4,2026-01-22,0008,C,SAIDA,Pagtº referente a -trabalhos esporádicos - prestados na limpeza/ organização Sede da APLB Sindicato - Delegacia do Sisal/Araci-Ba - (8.3) - DAMIANA DA CONEIÇÃO SILVA,240.00,31258.30
75,2026-01,01_2026.pdf,4,2026-01-23,0916,C,SAIDA,Pagtº - NFC-e Nº 48 - referente a cofecção de uma copia de chave para o portão da frente do Espaço de Eventos - CTR da APLB/Araci - (10.1) (6.5) GIRLANDIA ALVES SAMPAIO LISBOA,10.00,31248.30
76,2026-01,01_2026.pdf,5,2026-01-23,0008,C,SAIDA,Pagtº referente a - salários proporcional - pelos serviços prestados na limpeza/ organização Sede da APLB Sindicaato - Delegacia do Sisal/Araci-Ba - 12/2025 - (251.12) JOSIENE JESUS DE SENA,120.00,31128.30
77,2026-01,01_2026.pdf,5,2026-01-23,0915,C,SAIDA,"Pagtº - NF-e 000.000.111 - referente à compra de plantas, mudas e sementes - para terreno da APLB/Araci - (915.1) - Floricultura e Horto Araci Ltda",320.00,30808.30
78,2026-01,01_2026.pdf,5,2026-01-26,0916,C,SAIDA,Referente ao pagtº de duas diária de serviços de pedreiro e ajudante na colocação do revestimento externo na parte de cima nas laterais da churasqueira - CTR - APLB SINDICATO ARACI/BA - (916.8) HAVELANGE LUIS OLIVEIRA,220.00,30588.30
79,2026-01,01_2026.pdf,5,2026-01-26,0017,C,SAIDA,"Referente ao pagtº referente a despesas com - banana, macã, manga e maracujá - para serem consumidos na sede da PLB Sindicato/Araci - BA (17.16) GALEGO HORTIFRUTI",33.00,30555.30
80,2026-01,01_2026.pdf,5,2026-01-27,0914,C,SAIDA,Pagtº referente a - Nº 254597 - despesas com compra de material de limpeza - rodo 40 cm - para o Espaço de Eventos para os servidores da Educação do município de Araci-Ba APLB/Araci - BA - (914.3) -LOJAO DO POVO Pagtº referente - nº 000039731 - limpa piso/rejunte limp. pesada - no Espaço de Eventos - CTR da APLB/Araci - (908.19) EVANILTON OLIVEIRA CARVALHO (TICO),5.50,30549.80
81,2026-01,01_2026.pdf,5,2026-01-27,0914,C,SAIDA,,23.00,30526.80
82,2026-01,01_2026.pdf,5,2026-01-27,0910,C,SAIDA,Pagtº referente - nº 91636 - toalha de papel familiar 50 fls - para a o espaço de Espaço de Eventos CTR da APLB Sindicato - Delegacia do Sisal/Araci-BA - da APLB (6.4) EMBALA FEST COMERCIO DE EMBALAGENS LTDA,12.00,30514.80
83,2026-01,01_2026.pdf,5,2026-01-27,0017,C,SAIDA,"Pagtº referente à compra de materiais de limpeza - alimentos diversos: neston, bebida l sanpa etc. _ NFC-e nº 162642 - para a sede da APLB/Araci (17.3) - RODIKSON ZAINER OLIVEIRA CARVALHO",37.30,30477.50
84,2026-01,01_2026.pdf,5,2026-01-27,0906,C,SAIDA,"Pagtº referente a serviços prestados -Servente-, referente ao mês de 01/2026, no terreno do CTR da APLB/Araci - (906.2) ROBISON PEREIRA DOS SANTOS",1994.00,28483.50
85,2026-01,01_2026.pdf,5,2026-01-28,0017,C,SAIDA,Referente ao pagtº referente a despesas com - arroz branco - para serem consumidos na sede da PLB Sindicato/Araci - BA (17.12) MERCADINHO DONA ANITA,14.20,28469.30
86,2026-01,01_2026.pdf,5,2026-01-28,0008,C,SAIDA,"Pagtº referente a - limpeza e manutenção dos canteiros - pelos serviços prestados na limpeza/ executado em horário oposto, organização Sede da APLB Sindicaato - Delegacia do Sisal/Araci-Ba - 12/2025 - (8.1) - MARIA DA CONCEIÇÃO MIRANDA DA ANUNCIAÇÃO",50.00,28419.30
87,2026-01,01_2026.pdf,5,2026-01-28,0017,C,SAIDA,Referente ao pagtº referente a despesas com - limão - para serem usadas na limpeza das grades da churrasqueuira na sede da PLB Sindicato/Araci - BA (17.16) GALEGO HORTIFRUTI,3.00,28416.30
88,2026-02,02_2026.pdf,1,2026-02-02,0022,B,ENTRADA,Pix - Recebido Correspondente ao valor da mensalidade pelos serviços de programação/manutenção/hospedagem do aplicativo da secretaria do núcleo da APLB de QUIJINGUE - Transferência bancária referente aos meses 02/2026 - (22.9) Robeval diretor financeiro de QUIJINGUE,100.00,28516.30
89,2026-02,02_2026.pdf,1,2026-02-02,0022,B,SAIDA,Referente ao pagtº a - mês 01/2026 - serviços de programação/manutanção de aplicativo da tesouraria/secretaria da sede da APLB Sindicato - Delegacia do Sisal/Araci-BA. (22.3) CARLOS CKLEI CARVALHO,400.00,28116.30
90,2026-02,02_2026.pdf,1,2026-02-02,0613,B,SAIDA,"Pagtº referente a suporte com ajuda de custos para Regional Sisaleira, referente a 0?/2025 da APLB/Araci - (613.1) APLB MONTE SANTO",4400.00,23716.30
91,2026-02,02_2026.pdf,1,2026-02-02,0820,B,SAIDA,"(820.1) Referente ao pagtº de serviços contábeis do escritório de contabilidade, referente aos meses 8, 9, 10, 11, 12/2025 através de deposito em conta corrente, comforme cupom de depósito - (820.1) M . OLIVEIRA ASSESSORIA CONTÁBIL - ACERTAR",900.00,22816.30
92,2026-02,02_2026.pdf,1,2026-02-02,0001,B,SAIDA,Tarifa pix enviado,8.91,22807.39
93,2026-02,02_2026.pdf,1,2026-02-02,0001,B,SAIDA,Tarifa transferencia recursos - e/l,1.70,22805.69
94,2026-02,02_2026.pdf,1,2026-02-02,0001,B,SAIDA,Tarifa DOC/TED Eletronico,13.40,22792.29
95,2026-02,02_2026.pdf,1,2026-02-03,0801,B,SAIDA,002 - (801.1) Suprimento de Caixa - Cheque 851048,5800.00,16992.29
96,2026-02,02_2026.pdf,1,2026-02-03,0001,B,SAIDA,Tarifa Manutenção Conta Ativa,70.60,16921.69
97,2026-02,02_2026.pdf,1,2026-02-03,0001,B,SAIDA,Tarifa Processamento Cheque,19.10,16902.59
98,2026-02,02_2026.pdf,1,2026-02-04,0022,B,ENTRADA,"Pix - Recebido Correspondente ao valor da mensalidade pelos serviços de programação/manutenção/hospedagem do aplicativo da secretaria do núcleo da APLB de CANUDOS - Transferência bancária referente aos meses 1, 2, 3, 4, 5, 6/2025 - (22.6) - Antoniel dos Anjos, diretor financeiro de CANUDOS",600.00,17502.59
99,2026-02,02_2026.pdf,1,2026-02-06,0022,B,ENTRADA,BERNADETE MARIA OLIVEIRA,102.00,17604.59
100,2026-02,02_2026.pdf,2,2026-02-09,0702,B,ENTRADA,875 - Recebimento da Contribuição Sindical e Termo Aditivo através de 99015 - Transferência bancária fevereiro e 01/2026 - (702.2) JOSE NILTON S. BORGES,58.10,17662.69
101,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - Transferência recebida (PREF MUNICIPAL ARACI FPM),749.14,18411.83
102,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - Transferência recebida (PREF MUNICIPAL ARACI FPM),1568.62,19980.45
103,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - Transferência recebida (PREF MUNICIPAL ARACI FPM),26.11,20006.56
104,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - MDE EDUCAÇÃO REC PRÓPRIO,120.40,20126.96
105,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - FMAS - FUNDO MUNICIPAL DE,60.85,20187.81
106,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - Transferência recebida (PM ARACI - FEB),7875.77,28063.58
107,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - Transferência recebida (PM ARACI - FEB),6228.06,34291.64
108,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - Transferência recebida (PM ARACI - FEB),44653.99,78945.63
109,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - Transferência recebida (PM ARACI - FEB),614.17,79559.80
110,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - Transferência recebida (PM ARACI - FEB),3938.90,83498.70
111,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - Transferência recebida (PM ARACI - FEB),88150.11,171648.81
112,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - Transferência recebida (PM ARACI - FEB),1294.91,172943.72
113,2026-02,02_2026.pdf,2,2026-02-09,0701,B,ENTRADA,99015 - Transferência recebida (PM ARACI - FEB),1390.20,174333.92
114,2026-02,02_2026.pdf,2,2026-02-10,0801,B,SAIDA,002 - (801.1) Suprimento de Caixa - Cheque 85149,9900.00,164433.92
115,2026-02,02_2026.pdf,2,2026-02-10,0001,B,SAIDA,Tarifa Processamento Cheque,19.10,164414.82
116,2026-02,02_2026.pdf,2,2026-02-11,0702,B,ENTRADA,870 - Recebimento da Contribuição Sindical e Termo Aditivo através de (701.1) - Transferência bancária 01/2026 - (702.1) ISABEL BRAGA DANTAS,24.00,164438.82
117,2026-02,02_2026.pdf,2,2026-02-11,0702,B,ENTRADA,870 - Recebimento da Contribuição Sindical e Termo Aditivo através de - Transferência bancária 01/2026 - (702.3) RENILDES PEREIRA,24.00,164462.82
118,2026-02,02_2026.pdf,2,2026-02-12,0007,B,SAIDA,470 - SECRETARIA JURIDICA 01/2026 serviços advocatícios prestado pelo mesmo na Secretaria Jurídica - (7.1) LUIS HENRIQUE MATOS MOTA,4052.50,160410.32
119,2026-02,02_2026.pdf,2,2026-02-12,0022,B,SAIDA,Referente ao pagtº a - mês 02/2026 - serviços de programação/manutanção de aplicativo da tesouraria/secretaria da sede da APLB Sindicato - Delegacia do Sisal/Araci-BA. (22.3) CARLOS CKLEI CARVALHO,400.00,160010.32
120,2026-02,02_2026.pdf,2,2026-02-12,0007,B,SAIDA,470 - Referente ao pagtº pelos serviços prestados com apoio jurídico referente ao mês de 01/2026 - (7.3) DIANE OLIVEIRA DE ALMEIDA,810.50,159199.82
121,2026-02,02_2026.pdf,2,2026-02-12,0007,B,SAIDA,120 - SECRETARIA JURIDICA 01/2026 Transferencia Referente pagtº pelos serviços relacionado ao previdenciariao prestados aos servidores - (7.4) MARIO CESAR N. OLIVEIRA,2431.50,156768.32
122,2026-02,02_2026.pdf,2,2026-02-12,0022,B,SAIDA,PRESTAÇÃO DE SERVIÇOS NA ALIMENTAÇÃO DE DADOS NO SISTEMA DA TESOURARIA E SECRETARIA 02/2026 - (22.1) MESSIANO ARAUJO DE SENA,3242.00,153526.32
123,2026-02,02_2026.pdf,2,2026-02-12,0007,B,SAIDA,470 - SECRETARIA JURIDICA 01/2026 serviços advocatícios prestado pelo mesmo na Secretaria Jurídica - (7.2) GABRIEL GERALDO CARVALHO FONTE,4052.50,149473.82
124,2026-02,02_2026.pdf,2,2026-02-12,0002,B,SAIDA,Referente a pgtº de fatura de energia da APLB/Araci - BA 12/2025 - (2.1) COELBA SEDE,796.83,148676.99
125,2026-02,02_2026.pdf,2,2026-02-12,0006,B,SAIDA,Referente a pgt. - nº 000.000.178 - Compra de MlteFuncional epson ecotank L3250 WI-FI para a sala de tesouraria - parcela 4/4 - da sede da APLB/ARACI-BA - (6.3) 2E TECNOLOGIA E SEGURANÇA ELETRONICA - MILLENIUM,387.25,148289.74
126,2026-02,02_2026.pdf,3,2026-02-12,0803,B,SAIDA,(803.2) -PLANOS DE SAÚDE - Central Nacional Unimed C oop Central - Pagamento do boleto/Fatura 02/2026 - UNIMED NACIONAL C CENTRAL,1430.00,146859.74
127,2026-02,02_2026.pdf,3,2026-02-12,0803,B,SAIDA,LANOS DE SAÚDE - Central Nacional Unimed Coop Central - Pagamento do boleto/Fatura 02/2026 (803.3) UNIMED SAUDE E ODONTO S.A,5229.80,141629.94
